MonthCode,Year,V1,V2,V3,V4
173,1924,1924.2084,,0,0
174,1924,1924.2916,,0,0
175,1924,1924.375,,0,0
176,1924,1924.4584,,0,0
177,1924,1924.5416,,0,0
178,1924,1924.625,,0,0
179,1924,1924.7084,,0,0
180,1924,1924.7916,,0,0
181,1924,1924.875,,0,0
182,1924,1924.9584,,0,0
183,1925,1925.0416,,0,0
184,1925,1925.125,,0,0
185,1925,1925.2084,,0,0
186,1925,1925.2916,,0,0
187,1925,1925.375,,0,0
188,1925,1925.4584,,0,0
189,1925,1925.5416,,0,0
190,1925,1925.625,,0,0
191,1925,1925.7084,,0,0
192,1925,1925.7916,,0,0
193,1925,1925.875,,0,0
194,1925,1925.9584,,0,0
195,1926,1926.0416,,0,0
196,1926,1926.125,,0,0
197,1926,1926.2084,,0,0
198,1926,1926.2916,,0,0
199,1926,1926.375,,0,0
200,1926,1926.4584,,0,0
201,1926,1926.5416,,0,0
202,1926,1926.625,,0,0
203,1926,1926.7084,,0,0
204,1926,1926.7916,,0,0
205,1926,1926.875,,0,0
206,1926,1926.9584,,0,0
207,1927,1927.0416,,0,0
208,1927,1927.125,,0,0
209,1927,1927.2084,,0,0
210,1927,1927.2916,,0,0
211,1927,1927.375,,0,0
212,1927,1927.4584,,0,0
213,1927,1927.5416,,0,0
214,1927,1927.625,,0,0
215,1927,1927.7084,,0,0
216,1927,1927.7916,,0,0
217,1927,1927.875,,0,0
218,1927,1927.9584,,0,0
219,1928,1928.0416,,0,0
220,1928,1928.125,,0,0
221,1928,1928.2084,,0,0
222,1928,1928.2916,,0,0
223,1928,1928.375,,0,0
224,1928,1928.4584,,0,0
225,1928,1928.5416,,0,0
226,1928,1928.625,,0,0
227,1928,1928.7084,,0,0
228,1928,1928.7916,,0,0
229,1928,1928.875,,0,0
230,1928,1928.9584,,0,0
231,1929,1929.0416,,0,0
232,1929,1929.125,,0,0
233,1929,1929.2084,,0,0
234,1929,1929.2916,,0,0
235,1929,1929.375,,0,0
236,1929,1929.4584,,0,0
237,1929,1929.5416,,0,0
238,1929,1929.625,,0,0
239,1929,1929.7084,,0,0
240,1929,1929.7916,,0,0
241,1929,1929.875,,0,0
242,1929,1929.9584,,0,0
243,1930,1930.0416,,0,0
244,1930,1930.125,,0,0
245,1930,1930.2084,,0,0
246,1930,1930.2916,,0,0
247,1930,1930.375,,0,0
248,1930,1930.4584,,0,0
249,1930,1930.5416,,0,0
250,1930,1930.625,,0,0
251,1930,1930.7084,,0,0
252,1930,1930.7916,,0,0
253,1930,1930.875,,0,0
254,1930,1930.9584,,0,0
255,1931,1931.0416,,0,0
256,1931,1931.125,,0,0
257,1931,1931.2084,,0,0
258,1931,1931.2916,,0,0
259,1931,1931.375,,0,0
260,1931,1931.4584,,0,0
261,1931,1931.5416,,0,0
262,1931,1931.625,,0,0
