Year,V1,V2,V3,V4
1923,1923.875,709.2,0,0
1923,1923.9584,714.2,0,0
1924,1924.0416,,0,0
1924,1924.125,,0,0
1924,1924.2084,,0,0
1924,1924.2916,,0,0
1924,1924.375,,0,0
1924,1924.4584,,0,0
1924,1924.5416,,0,0
1924,1924.625,,0,0
1924,1924.7084,,0,0
1924,1924.7916,,0,0
1924,1924.875,,0,0
1924,1924.9584,,0,0
1925,1925.0416,,0,0
1925,1925.125,,0,0
1925,1925.2084,,0,0
1925,1925.2916,,0,0
1925,1925.375,,0,0
1925,1925.4584,,0,0
1925,1925.5416,,0,0
1925,1925.625,,0,0
1925,1925.7084,,0,0
1925,1925.7916,,0,0
1925,1925.875,,0,0
1925,1925.9584,,0,0
1926,1926.0416,,0,0
1926,1926.125,,0,0
1926,1926.2084,,0,0
1926,1926.2916,,0,0
1926,1926.375,,0,0
1926,1926.4584,,0,0
1926,1926.5416,,0,0
1926,1926.625,,0,0
1926,1926.7084,,0,0
1926,1926.7916,,0,0
1926,1926.875,,0,0
1926,1926.9584,,0,0
1927,1927.0416,,0,0
1927,1927.125,,0,0
1927,1927.2084,,0,0
1927,1927.2916,,0,0
1927,1927.375,,0,0
1927,1927.4584,,0,0
1927,1927.5416,,0,0
1927,1927.625,,0,0
1927,1927.7084,,0,0
1927,1927.7916,,0,0
1927,1927.875,,0,0
1927,1927.9584,,0,0
1928,1928.0416,,0,0
1928,1928.125,,0,0
1928,1928.2084,,0,0
1928,1928.2916,,0,0
1928,1928.375,,0,0
1928,1928.4584,,0,0
1928,1928.5416,,0,0
1928,1928.625,,0,0
1928,1928.7084,,0,0
1928,1928.7916,,0,0
1928,1928.875,,0,0
1928,1928.9584,,0,0
1929,1929.0416,,0,0
1929,1929.125,,0,0
1929,1929.2084,,0,0
1929,1929.2916,,0,0
1929,1929.375,,0,0
1929,1929.4584,,0,0
1929,1929.5416,,0,0
1929,1929.625,,0,0
1929,1929.7084,,0,0
1929,1929.7916,,0,0
1929,1929.875,,0,0
1929,1929.9584,,0,0
1930,1930.0416,,0,0
1930,1930.125,,0,0
1930,1930.2084,,0,0
1930,1930.2916,,0,0
1930,1930.375,,0,0
1930,1930.4584,,0,0
1930,1930.5416,,0,0
1930,1930.625,,0,0
1930,1930.7084,,0,0
1930,1930.7916,,0,0
1930,1930.875,,0,0
1930,1930.9584,,0,0
1931,1931.0416,,0,0
1931,1931.125,,0,0
1931,1931.2084,,0,0
1931,1931.2916,,0,0
1931,1931.375,,0,0
1931,1931.4584,,0,0
1931,1931.5416,,0,0
1931,1931.625,,0,0
1931,1931.7084,,0,0
1931,1931.7916,,0,0
1931,1931.875,,0,0
